posicao_m,densidade_kg_m
0,"5,5"
"0,2","5,499"
"0,4","5,4961"
"0,6","5,4911"
"0,8","5,4843"
1,"5,4755"
"1,2","5,4649"
"1,4","5,4524"
"1,6","5,4382"
"1,8","5,4222"
2,"5,4045"
"2,2","5,3853"
"2,4","5,3645"
"2,6","5,3423"
"2,8","5,3187"
3,"5,2939"
"3,2","5,2679"
"3,4","5,2409"
"3,6","5,2129"
"3,8","5,1841"
4,"5,1545"
"4,2","5,1243"
"4,4","5,0937"
"4,6","5,0627"
"4,8","5,0314"
5,5
"5,2","4,9686"
"5,4","4,9373"
"5,6","4,9063"
"5,8","4,8757"
6,"4,8455"
"6,2","4,8159"
"6,4","4,7871"
"6,6","4,7591"
"6,8","4,7321"
7,"4,7061"
"7,2","4,6813"
"7,4","4,6577"
"7,6","4,6355"
"7,8","4,6147"
8,"4,5955"
"8,2","4,5778"
"8,4","4,5618"
"8,6","4,5476"
"8,8","4,5351"
9,"4,5245"
"9,2","4,5157"
"9,4","4,5089"
"9,6","4,5039"
"9,8","4,501"
10,"4,5"
